mois,prevision,borne_basse,borne_haute
2026-01-01,516086.78028645855,494964.7278089879,537676.2843244838
2026-02-01,453513.87722993974,432201.3923410588,474709.19303701154
2026-03-01,522566.5850324654,501885.9466755541,544507.3259244633
2026-04-01,431823.1929677642,409307.5909299777,453084.7176603215
2026-05-01,453268.5092180726,430635.23471575504,476365.23232099006
2026-06-01,484216.87779872277,461307.99197063706,509984.9265461889
2026-07-01,497820.9528803066,473611.48205142736,522350.321924894
2026-08-01,604218.5449060829,579394.8200309731,629673.2120298175
2026-09-01,637412.789002414,610997.6290758615,663844.0931434437
2026-10-01,654788.5195843076,624343.6395093811,685841.5162618895
2026-11-01,727883.4318455247,693123.7614556433,762682.2203723891
2026-12-01,896806.6588756455,857222.8651866616,939669.0754016227
2027-01-01,790390.7286060002,749139.4427822182,830870.3926038914
2027-02-01,702405.3166388886,660694.4517083813,745485.9058428996
2027-03-01,864296.3522195489,813327.5079272786,917614.5637964542
2027-04-01,652020.5525268945,612084.2277820801,694022.2447064947
2027-05-01,650750.040565831,608943.0120103278,696705.2325792784
2027-06-01,683979.1922467924,637468.6657301347,736688.2889165768
2027-07-01,722389.7382684045,668658.0003233198,777395.8798839049
2027-08-01,859835.2256410057,797806.4839427862,926292.1082399796
2027-09-01,974652.9451412683,897991.6747701876,1052725.3844235905
2027-10-01,901693.4479442141,832332.6233361667,979546.6563844464
2027-11-01,1027425.87595422,942529.3926344052,1116000.3533083934
2027-12-01,1204682.0222110378,1106088.1895232731,1313749.4054397715
