mois,prevision,borne_basse,borne_haute
2026-01-01,1683.3946935394517,1625.1018630931733,1745.6856319454546
2026-02-01,1557.3814080577083,1495.5388779249072,1617.6064372183039
2026-03-01,1676.8940728145783,1619.175552378702,1736.7251152410945
2026-04-01,1687.0582449632805,1625.6054101325155,1747.8949219495096
2026-05-01,1673.0576746636625,1609.83648006122,1734.254222376811
2026-06-01,1773.74331273596,1710.7000043672972,1837.5167151398232
2026-07-01,1949.2494728700901,1876.5606636493837,2025.4663326220052
2026-08-01,2106.834481646635,2017.9187519000977,2191.595750742171
2026-09-01,2126.1442054205454,2032.921799340995,2216.949633104164
2026-10-01,2547.2260770706353,2438.6142612251206,2655.722846913075
2026-11-01,2614.023497071252,2497.663408904786,2738.4708871926177
2026-12-01,3105.7552726384165,2963.4415826705163,3253.7055431785957
2027-01-01,2630.1645563696156,2495.9681833833806,2765.1751638912333
2027-02-01,2534.5293107344087,2390.6206449000806,2685.5431402120657
2027-03-01,2634.9548810831966,2475.07537726722,2801.2826031428385
2027-04-01,2602.397921981045,2442.42298792578,2770.6994872002592
2027-05-01,2375.2797265068107,2203.50051052708,2542.422369804837
2027-06-01,2652.798263423428,2463.7465726711366,2841.758028056408
2027-07-01,2871.622947804921,2655.8487698873073,3089.0912390294498
2027-08-01,3072.8077512180216,2837.4170887730897,3319.691571049306
2027-09-01,3054.1998255665962,2808.9244678933273,3311.079465876172
2027-10-01,3677.1187813406827,3359.7251814979713,3983.5675695818395
2027-11-01,3567.332460187508,3259.778630914898,3882.181347562386
2027-12-01,4304.120473856609,3914.976032195659,4696.245426072302
